pixel1,pixel2
-9.966538107956980364e-01,-1.543410913179314115e+00
3.716789566701426129e-01,3.003091817257054763e-01
-3.701072693759179355e+00,-3.960328373882170627e+00
-4.300091950453593270e+00,-3.086526821551705879e+00
-1.114541608537163109e+00,-3.342524984989513115e+00
1.707921200916388216e+00,1.110563894212285296e+00
-3.326143933710739575e-01,7.582808031875699628e-01
-1.456879474420858855e+00,-2.286312161818367272e+00
-1.909237766690442317e+00,-2.032624929277628834e+00
-3.025716050718003647e+00,-3.446939530942386032e+00
-8.390925742535255694e-01,-2.480440823360129166e+00
-3.622168241900122876e+00,-5.613348251441133918e+00
3.361030261754463400e+00,3.265034169805924869e+00
-1.342893272023248652e-01,-2.344908001467614689e+00
-1.405024213610248429e+00,-2.803950650699603142e-01
1.030025629929187114e-01,-6.102810685651219869e-01
2.586766342294550380e+00,1.359755573777404303e+00
1.614175399845570735e-01,-1.127619962820278765e+00
-4.299949309982700196e-01,-2.273300671411824680e+00
2.337553333143601808e+00,8.584439946292931056e-01
-1.780464955000292004e+00,-1.005623648310495444e+00
1.199444631259319438e+00,9.334326398899920330e-01
4.693307137327563439e+00,1.573428833517184433e+00
1.562851897907202359e+00,2.090435607809062457e-01
-2.586311525679199530e+00,-2.489748785480268900e+00
-5.673774895659474682e-01,1.707494892201633752e+00
-1.201844663747741571e+00,8.553177158932073754e-01
3.845016284262462447e-01,2.709853422571859571e+00
2.866187202698988190e-01,-4.040567555952415124e-01
-2.509379349264625247e+00,-1.781399869334004071e+00
2.423686302090922506e+00,-5.055533556401213824e-01
2.507693993064700866e+00,4.024692259732165489e+00
-1.017398487304301602e+00,-4.060530554091929534e-01
-2.073813664305287574e+00,-2.307039128058235189e+00
7.735581730286525317e-04,-1.280470575768961894e-01
-5.049740730716167914e-02,-1.349272992882108113e+00
-5.448699814813427800e+00,-4.365250818046710890e+00
3.856469770543007769e+00,3.376286926615281736e+00
3.883275923622643067e+00,4.102232841358122606e+00
-1.046995589214663180e+00,-1.351457376258771381e+00
-3.766736538731016437e-01,1.657299887831680030e+00
-3.298467545843141169e-01,-1.170949379341160723e-01
1.001612679939660744e+00,1.541814478765948238e+00
-2.551386193643783717e-01,-1.559327750674319946e+00
-3.311955561952540372e-01,-6.713311318639878511e-01
5.008152567609117645e-01,1.669673490054756904e-01
-6.551457064645990203e-01,8.548961492970874598e-01
-2.290280782025100326e+00,-3.182799221335887552e+00
-2.621621693752640869e+00,-1.849486300263634142e+00
-1.974510423097374456e+00,-3.346211994661759004e+00
-3.178080472661168887e+00,-3.441329513808735641e+00
-4.250845124843413814e+00,-2.586490532207164073e+00
5.043935934759543827e+00,2.572318451357580305e+00
-3.319263754434362834e+00,-1.126800281278245608e+00
4.581984945867210612e+00,3.073021720374554011e+00
-2.303477411536531072e+00,-2.011357475279913043e+00
1.262534481757254801e+00,1.145142009867178512e+00
-4.562176518140947379e-01,-7.199292208560633677e-01
-3.607155625245478170e+00,-3.312646231002859043e+00
1.993837624348042903e+00,1.775643490700237637e+00
-3.907557988144185201e-01,3.799369006390937442e-02
-2.674402697346218272e+00,-2.204547144926262803e+00
5.712254868274758701e-01,1.495433278936743715e+00
-4.683949544598664083e+00,-3.123068050194390377e+00
2.972781856013702595e-01,8.095893933014136623e-02
-8.037917756811124859e-01,8.404933996109591188e-02
3.016316008557283546e+00,1.121689309150816438e+00
-4.700258527367666694e+00,-3.942632917995906539e+00
-1.831228192532350085e-01,-2.262463035185671156e+00
5.291334733031187731e+00,3.738606404892709012e+00
2.937784502973619816e+00,1.149913693741278831e+00
2.898311518187386415e+00,4.322786902687007604e+00
1.749904065890406590e+00,6.530498806644033927e-01
-2.907332820187684685e+00,-1.181398761094533123e+00
-3.594603085216139249e+00,-2.069685051198076220e+00
5.953930407672077818e-01,-3.338455644593991134e-01
4.788312936676325293e+00,4.613316038269421604e+00
1.193617477912322089e+00,7.901612439668566079e-01
-2.657474503769319818e-01,-2.545532605797724557e+00
-6.262674249967540296e-01,5.653776343911843805e-01
1.859953985430278012e+00,2.646691282284436397e+00
3.191145513867860717e-01,3.404885207551662685e+00
8.118946475904932347e-01,-2.786331901837322822e-01
-2.749678409611969521e+00,-2.422327178387430724e+00
3.338208397757324697e+00,1.891743768634427614e+00
-7.786766999349626905e-01,-2.498087342669594868e+00
-3.057911173807395411e+00,-6.269367195888008171e-01
3.353947585643471396e-01,1.272757800017731977e+00
-2.703051440420542129e+00,-2.070123038439812380e+00
-1.735679078912485629e+00,-3.306638316514140197e+00
2.056447725089529222e+00,2.196897007812525171e+00
-3.865633096305722827e+00,-3.057029024303365983e+00
-1.759613316861045884e-01,1.145516393696299762e+00
-2.753044823127887675e+00,-3.173548807327397636e+00
-2.205417390751310158e+00,-2.016462540926421187e+00
-1.627037473903251152e-01,-8.955198309238883159e-01
-1.081457641569419259e+00,-2.168850342769916395e+00
-1.450010422930559262e+00,-6.667046263544452733e-01
2.830296661169797723e+00,2.139253647782057843e+00
-4.248365230038766982e-01,-4.789594542998352744e-01
3.101798391501231045e+00,4.497988314354548045e+00
1.944712983496031500e+00,-4.525477707134408223e-01
1.004504220235167056e+00,-5.518231140495454268e-01
7.868694659469155361e-01,-3.588766761861948762e+00
-3.765177821964466265e+00,-5.819509419623400071e+00
2.282845443292553789e+00,1.050830446056244982e+00
-5.540709349716641530e-01,-3.331730581950261172e+00
